fn,exp,exp_plot,lambda,avg,avg_t_student,min,min_t_student,max,max_t_student,median,median_t_student,num_user,num_user_t_student,mean_error,mean_error_t_student
read,besu_clique_4,"besu
clique",0.5,7.62069684905323,0.0570926559644267,5.168743999999999,0.01985419835830559,10.1477782,0.0408326148954805,7.598447500000001,0.05817209957382272,6.670305830000001,0.18787445837132555,0.0,0.0
read,besu_clique_4,"besu
clique",1.0,8.087448657797685,0.23622886033118887,5.3492038,0.1293466052221665,11.4748248,0.5008643598282779,8.068659700000001,0.24014646030803227,13.647479834,0.8232058700019678,0.0,0.0
read,besu_clique_4,"besu
clique",2.0,7.913214460273073,0.03578050306899736,5.237886,0.025802941179432444,10.6782062,0.14642500717362875,7.9037182,0.06028872630163046,24.115160737999997,0.4399315747851014,0.0,0.0
upload,besu_clique_4,"besu
clique",0.5,12.716937065449738,0.03206207356156227,10.1898952,0.027178806385600763,15.2952224,0.005914027184436664,12.7850231,0.030102057701094476,11.495507352666667,0.210168284107167,0.0,0.0
upload,besu_clique_4,"besu
clique",1.0,12.776271318169785,0.033869015849980574,10.191461799999999,0.03214258971431974,15.4213852,0.01716259293475623,12.787231,0.03949637503712039,21.406010387333332,0.8640736060107994,0.0,0.0
upload,besu_clique_4,"besu
clique",2.0,13.130842556643291,0.03039322282356892,10.3214066,0.0695593438667428,17.608932799999998,1.320391694991433,13.068522999999999,0.037370441446063635,38.262334069999994,1.4077486598056619,3.613495006921467,3.019240113518265
delete,besu_clique_4,"besu
clique",0.5,7.661715685177768,0.04773116650715096,5.1281348,0.010847409524256535,10.1936142,0.02504092664997297,7.651762499999999,0.097708291427996,6.870247432000001,0.30837195879489493,0.0,0.0
delete,besu_clique_4,"besu
clique",1.0,7.746254271110141,0.09049778799229127,5.1698544,0.01704953924274308,10.4651984,0.22277809598721693,7.7537657,0.09973037853009643,13.009874962000001,0.501879186335051,0.0,0.0
delete,besu_clique_4,"besu
clique",2.0,7.858625411577225,0.051282914219967925,5.1844176,0.02079036028105983,10.519031799999999,0.049117542750320535,7.856546800000001,0.07028202825905124,22.59246497066667,0.3361244050813091,1.9681838443552455,0.7734663987034285
file_check_undeleted_file,besu_clique_4,"besu
clique",0.5,13.27498043876364,0.07273308747714681,10.4727082,0.0997629425975015,16.0705582,0.15827063190488336,13.2937999,0.11240064429131938,11.557297262666667,0.42456428469104757,0.0,0.0
file_check_undeleted_file,besu_clique_4,"besu
clique",1.0,13.472299342387469,0.4563614520582904,10.363654799999999,0.14311477539346187,19.1262744,2.5002418276376264,13.4303141,0.4472153313103046,21.761271862666668,1.1503253913355442,0.0,0.0
file_check_undeleted_file,besu_clique_4,"besu
clique",2.0,13.043432373561169,0.04716172839566889,10.2913152,0.012420965609032915,16.2028152,0.6771368194178675,13.036120000000002,0.0907165508744043,35.59729322466667,1.0947821123211352,1.504907306434024,2.2074892242868147
read_deny_lost_file_check,besu_clique_4,"besu
clique",0.5,7.709872651773253,0.05489292676700133,5.1842456,0.010571992157246305,10.2202312,0.03498357374265147,7.7669099,0.10689061058324942,6.629021474666667,0.11820348678786025,0.0,0.0
read_deny_lost_file_check,besu_clique_4,"besu
clique",1.0,7.821852375187204,0.056955983508832145,5.2251518,0.023979810404109,10.4587088,0.0389996705748162,7.7722667,0.09622809746513929,13.465452317333334,0.25078175306747946,0.0,0.0
read_deny_lost_file_check,besu_clique_4,"besu
clique",2.0,8.316483050745244,0.19590220465697625,5.473796200000001,0.1156449942374197,12.4951192,2.1977004149766284,8.3126441,0.17690712198101188,25.001716285999997,0.9825321680331369,0.0,0.0
read,besu_ibft_4,"besu
ibft",0.5,7.70987519588312,0.11803472955641155,5.1675316,0.050052212802615965,10.2088446,0.04262077392090768,7.7356146,0.14772055013910973,6.692797217999998,0.262258257647041,0.0,0.0
read,besu_ibft_4,"besu
ibft",1.0,7.730019411209453,0.04873229679456865,5.206729200000001,0.014520203043889093,10.349109799999999,0.03021267878155095,7.688558899999999,0.06332322695470799,12.987027190000001,0.21906798123267274,0.0,0.0
read,besu_ibft_4,"besu
ibft",2.0,7.8538429475124385,0.02790523271293008,5.2175358,0.00748487201154242,10.495391000000001,0.030890293900694647,7.8568026,0.01324180795048099,23.305769535333333,0.4062563628137867,0.0,0.0
upload,besu_ibft_4,"besu
ibft",0.5,12.742611362682485,0.019929126090032088,10.2388584,0.03229040830553526,15.288070999999999,0.04051408974532753,12.7834498,0.048050985402784824,11.375064543333334,0.15902358778421713,0.0,0.0
upload,besu_ibft_4,"besu
ibft",1.0,12.819145102769218,0.032457521269132115,10.259961399999998,0.023313599498754035,15.446079800000001,0.02829436741888049,12.793073099999999,0.08073656841144301,21.467751855333333,0.1277124259151552,0.0,0.0
upload,besu_ibft_4,"besu
ibft",2.0,12.95796516191255,0.020891393757546648,10.2967228,0.036503252506572444,15.6785314,0.031939985399872535,12.934199799999998,0.02169648143455982,36.02159161,0.7456084247323334,1.7709480098485855,1.3178276048605326
delete,besu_ibft_4,"besu
ibft",0.5,7.95584709950634,0.11789909450320804,5.409349000000001,0.11820904193051202,10.7262472,0.2622204787875988,7.834903300000001,0.1544206373305499,6.8195821033333335,0.22412566602490908,0.0,0.0
delete,besu_ibft_4,"besu
ibft",1.0,7.880267144071373,0.17544548330310147,5.2544574,0.09826000767242242,10.8056908,0.3014691254147789,7.830823700000001,0.1848234877076513,13.032448719333331,0.4202413646065748,0.4262877442273535,0.6253046933882183
delete,besu_ibft_4,"besu
ibft",2.0,7.83453301647847,0.047469904592728165,5.2258602,0.025414578921035855,10.6955466,0.28097825253155145,7.8144897,0.08575454436467544,24.010193027333337,0.5514818717490517,1.0583705602189863,0.6618420660239761
file_check_undeleted_file,besu_ibft_4,"besu
ibft",0.5,12.766432096680758,0.043762783943362506,10.225760200000002,0.026489345260385336,15.2589486,0.017770828515626152,12.798308700000002,0.07181805971129634,11.321919511333334,0.47850343200816137,0.0,0.0
file_check_undeleted_file,besu_ibft_4,"besu
ibft",1.0,12.92101020182182,0.049151033215967393,10.282794800000001,0.046425036473707756,15.5701428,0.0845371587727774,12.917598099999998,0.05681821586706979,22.250163721333337,0.7249446208874183,0.0,0.0
file_check_undeleted_file,besu_ibft_4,"besu
ibft",2.0,13.25463264883048,0.06495014048553012,10.3925026,0.07344609320898314,17.396590800000002,0.6115459473261259,13.2106283,0.09134344819249317,39.01982997666667,0.41131389678544,0.8675140427987171,1.198641314176131
read_deny_lost_file_check,besu_ibft_4,"besu
ibft",0.5,8.233390904788044,0.10408685529846869,5.3408872,0.04813121404360877,11.268576200000002,0.22822716058204026,8.2337513,0.13519810156231962,6.999341485333334,0.18642806344505025,0.0,0.0
read_deny_lost_file_check,besu_ibft_4,"besu
ibft",1.0,8.521256478408244,0.1262287417732858,5.580591999999999,0.03486030890907804,11.567223600000002,0.24552797364281478,8.5063537,0.20780988160273456,14.272379026,0.528047910261209,0.0,0.0
read_deny_lost_file_check,besu_ibft_4,"besu
ibft",2.0,8.51992964269247,0.2483716460220817,5.425744,0.05838802996374694,11.811986600000001,0.31569473660388375,8.5127309,0.24539132176704537,24.576761248666667,0.5592102409244761,0.0,0.0
read,besu_qbft_4,"besu
qbft",0.5,7.622563103368424,0.049986136098109174,5.217002,0.03168614023873516,10.218382600000002,0.025542813198736688,7.573944499999999,0.07959012530877724,6.720155424666667,0.3070130443926328,0.0,0.0
